;grid;letters;locs;encoding_stim;incorr_locs;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc
0;"[array([['Л', 'Ж', 'П'],
       ['Т', 'Х', 'Х'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['Л', 'Ж', 'П', 'Т'];[0, 1, 2, 3];grid_1331.png;[5, 6, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 8, 1];[0, 3, 6, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
1;"[array([['Ж', 'Л', 'Т'],
       ['Х', 'Х', 'П'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['Ж', 'Л', 'Т', 'П'];[0, 1, 2, 5];grid_1332.png;[3, 6, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 8, 7];[0, 1, 3, 6];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
2;"[array([['П', 'Л', 'Ж'],
       ['Х', 'Х', 'Х'],
       ['Т', 'Х', 'Х']], dtype='<U1')]";['П', 'Л', 'Ж', 'Т'];[0, 1, 2, 6];grid_1333.png;[3, 5, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 8, 0];[1, 3, 6, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
3;"[array([['Ж', 'Л', 'Т'],
       ['Х', 'Х', 'Х'],
       ['Х', 'П', 'Х']], dtype='<U1')]";['Ж', 'Л', 'Т', 'П'];[0, 1, 2, 7];grid_1334.png;[3, 5, 6, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 8, 3];[0, 1, 6, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
4;"[array([['Т', 'П', 'Ж'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Х', 'Л']], dtype='<U1')]";['Т', 'П', 'Ж', 'Л'];[0, 1, 2, 8];grid_1335.png;[3, 5, 6, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 8, 6];[0, 1, 3, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
5;"[array([['П', 'Л', 'Х'],
       ['Ж', 'Х', 'Т'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['П', 'Л', 'Ж', 'Т'];[0, 1, 3, 5];grid_1336.png;[2, 6, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 1, 7];[0, 3, 6, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
6;"[array([['Ж', 'П', 'Х'],
       ['Т', 'Х', 'Х'],
       ['Л', 'Х', 'Х']], dtype='<U1')]";['Ж', 'П', 'Т', 'Л'];[0, 1, 3, 6];grid_1337.png;[2, 5, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 1, 0];[3, 6, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
7;"[array([['Т', 'П', 'Х'],
       ['Л', 'Х', 'Х'],
       ['Х', 'Ж', 'Х']], dtype='<U1')]";['Т', 'П', 'Л', 'Ж'];[0, 1, 3, 7];grid_1338.png;[2, 5, 6, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 1, 3];[0, 6, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
8;"[array([['Л', 'Ж', 'Х'],
       ['Т', 'Х', 'Х'],
       ['Х', 'Х', 'П']], dtype='<U1')]";['Л', 'Ж', 'Т', 'П'];[0, 1, 3, 8];grid_1339.png;[2, 5, 6, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 1, 6];[0, 3, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
9;"[array([['Ж', 'П', 'Х'],
       ['Х', 'Х', 'Л'],
       ['Т', 'Х', 'Х']], dtype='<U1')]";['Ж', 'П', 'Л', 'Т'];[0, 1, 5, 6];grid_1340.png;[2, 3, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 7, 0];[1, 3, 6, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
