;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
1476;"[array([['Х', 'П', 'Х'],
       ['Г', 'Х', 'Х'],
       ['Х', 'Ж', 'Л']], dtype='<U1')]";['П', 'Г', 'Ж', 'Л'];[1, 3, 7, 8];grid_9151.png;[0, 2, 5, 6];{'П': 0, 'Г': 1, 'Ж': 2, 'Л': 3};{'П': [1, 2, 3], 'Г': [0, 2, 3], 'Ж': [0, 1, 3], 'Л': [0, 1, 2]};[5, 1, 3, 6];[0, 2, 7, 8];{'Г': 0, 'Ж': 1, 'Л': 2, 'П': 3};{'Г': [1], 'Ж': [0, 2], 'Л': [0, 1], 'П': [1, 2]};4;1.0;'- - - П
2094;"[array([['Х', 'Х', 'К'],
       ['Ш', 'Х', 'М'],
       ['Х', 'Д', 'Х']], dtype='<U1')]";['К', 'Ш', 'М', 'Д'];[2, 3, 5, 7];grid_10067.png;[0, 1, 6, 8];{'К': 0, 'Ш': 1, 'М': 2, 'Д': 3};{'К': [1, 2, 3], 'Ш': [0, 2, 3], 'М': [0, 1, 3], 'Д': [0, 1, 2]};[8, 1, 7, 3];[0, 2, 5, 6];{'Д': 0, 'К': 1, 'М': 2, 'Ш': 3};{'Д': [1], 'К': [0, 2], 'М': [1, 3], 'Ш': [2]};0;;
185;"[array([['Х', 'П', 'Х'],
       ['Х', 'Х', 'Л'],
       ['Т', 'Ф', 'Х']], dtype='<U1')]";['П', 'Л', 'Т', 'Ф'];[1, 5, 6, 7];grid_1522.png;[0, 2, 3, 8];{'П': 0, 'Л': 1, 'Т': 2, 'Ф': 3};{'П': [1, 2, 3], 'Л': [0, 2, 3], 'Т': [0, 1, 3], 'Ф': [0, 1, 2]};[5, 7, 0, 3];[1, 2, 6, 8];{'Л': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Л': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ф': [2]};3;1.0;5
3345;"[array([['Д', 'М', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Ш', 'Х', 'Г']], dtype='<U1')]";['Д', 'М', 'Ш', 'Г'];[0, 1, 6, 8];grid_12614.png;[2, 3, 5, 7];{'Д': 0, 'М': 1, 'Ш': 2, 'Г': 3};{'Д': [1, 2, 3], 'М': [0, 2, 3], 'Ш': [0, 1, 3], 'Г': [0, 1, 2]};[2, 5, 0, 6];[1, 3, 7, 8];{'Г': 0, 'Д': 1, 'М': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'М': [1, 3], 'Ш': [2]};0;;
667;"[array([['Х', 'Х', 'П'],
       ['Ж', 'Х', 'Т'],
       ['Х', 'Х', 'К']], dtype='<U1')]";['П', 'Ж', 'Т', 'К'];[2, 3, 5, 8];grid_2858.png;[0, 1, 6, 7];{'П': 0, 'Ж': 1, 'Т': 2, 'К': 3};{'П': [1, 2, 3], 'Ж': [0, 2, 3], 'Т': [0, 1, 3], 'К': [0, 1, 2]};[8, 1, 7, 6];[0, 2, 3, 5];{'Ж': 0, 'К': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2], 'К': [0, 2], 'П': [1, 3], 'Т': [1, 2]};0;;
3398;"[array([['Х', 'Х', 'Х'],
       ['Д', 'Х', 'Х'],
       ['Ш', 'М', 'Г']], dtype='<U1')]";['Д', 'Ш', 'М', 'Г'];[3, 6, 7, 8];grid_12669.png;[0, 1, 2, 5];{'Д': 0, 'Ш': 1, 'М': 2, 'Г': 3};{'Д': [1, 2, 3], 'Ш': [0, 2, 3], 'М': [0, 1, 3], 'Г': [0, 1, 2]};[1, 0, 3, 6];[2, 5, 7, 8];{'Г': 0, 'Д': 1, 'М': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'М': [1, 3], 'Ш': [2]};4;0.0;'- - - М
2867;"[array([['Ж', 'К', 'Х'],
       ['Х', 'Х', 'П'],
       ['Х', 'Х', 'Ф']], dtype='<U1')]";['Ж', 'К', 'П', 'Ф'];[0, 1, 5, 8];grid_11842.png;[2, 3, 6, 7];{'Ж': 0, 'К': 1, 'П': 2, 'Ф': 3};{'Ж': [1, 2, 3], 'К': [0, 2, 3], 'П': [0, 1, 3], 'Ф': [0, 1, 2]};[2, 5, 7, 6];[0, 1, 3, 8];{'Ж': 0, 'К': 1, 'П': 2, 'Ф': 3};{'Ж': [1, 2], 'К': [0, 2], 'П': [1, 3], 'Ф': [2]};4;0.0;'К - - -
3397;"[array([['Х', 'Х', 'Х'],
       ['Ш', 'Х', 'М'],
       ['Х', 'Д', 'Г']], dtype='<U1')]";['Ш', 'М', 'Д', 'Г'];[3, 5, 7, 8];grid_12668.png;[0, 1, 2, 6];{'Ш': 0, 'М': 1, 'Д': 2, 'Г': 3};{'Ш': [1, 2, 3], 'М': [0, 2, 3], 'Д': [0, 1, 3], 'Г': [0, 1, 2]};[1, 7, 3, 6];[0, 2, 5, 8];{'Г': 0, 'Д': 1, 'М': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'М': [1, 3], 'Ш': [2]};2;1.0;'Ш - - -
243;"[array([['Х', 'Т', 'Л'],
       ['Х', 'Х', 'Ф'],
       ['Х', 'Ж', 'Х']], dtype='<U1')]";['Т', 'Л', 'Ф', 'Ж'];[1, 2, 5, 7];grid_1861.png;[0, 3, 6, 8];{'Т': 0, 'Л': 1, 'Ф': 2, 'Ж': 3};{'Т': [1, 2, 3], 'Л': [0, 2, 3], 'Ф': [0, 1, 3], 'Ж': [0, 1, 2]};[5, 8, 7, 3];[0, 1, 2, 6];{'Ж': 0, 'Л': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2], 'Л': [0, 2], 'Т': [1, 3], 'Ф': [2]};3;0.0;2
2257;"[array([['М', 'К', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Ш', 'Х', 'П']], dtype='<U1')]";['М', 'К', 'Ш', 'П'];[0, 1, 6, 8];grid_10304.png;[2, 3, 5, 7];{'М': 0, 'К': 1, 'Ш': 2, 'П': 3};{'М': [1, 2, 3], 'К': [0, 2, 3], 'Ш': [0, 1, 3], 'П': [0, 1, 2]};[2, 5, 0, 6];[1, 3, 7, 8];{'К': 0, 'М': 1, 'П': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'П': [1, 3], 'Ш': [2]};2;0.0;'- - - К
