;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
1588;"[array([['Л', 'Х', 'Х'],
       ['Ф', 'Х', 'Г'],
       ['П', 'Х', 'Х']], dtype='<U1')]";['Л', 'Ф', 'Г', 'П'];[0, 3, 5, 6];grid_9266.png;[1, 2, 7, 8];{'Л': 0, 'Ф': 1, 'Г': 2, 'П': 3};{'Л': [1, 2, 3], 'Ф': [0, 2, 3], 'Г': [0, 1, 3], 'П': [0, 1, 2]};[2, 1, 7, 0];[3, 5, 6, 8];{'Г': 0, 'Л': 1, 'П': 2, 'Ф': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ф': [2]};2;1.0;'- Ф - -
514;"[array([['Х', 'Т', 'М'],
       ['Х', 'Х', 'Ш'],
       ['К', 'Х', 'Х']], dtype='<U1')]";['Т', 'М', 'Ш', 'К'];[1, 2, 5, 6];grid_2280.png;[0, 3, 7, 8];{'Т': 0, 'М': 1, 'Ш': 2, 'К': 3};{'Т': [1, 2, 3], 'М': [0, 2, 3], 'Ш': [0, 1, 3], 'К': [0, 1, 2]};[5, 8, 7, 0];[1, 2, 3, 6];{'К': 0, 'М': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ш': [2]};4;1.0;'К - - -
4450;"[array([['Г', 'Х', 'Х'],
       ['Х', 'Х', 'Ж'],
       ['Ф', 'Д', 'Х']], dtype='<U1')]";['Г', 'Ж', 'Ф', 'Д'];[0, 5, 6, 7];grid_14172.png;[1, 2, 3, 8];{'Г': 0, 'Ж': 1, 'Ф': 2, 'Д': 3};{'Г': [1, 2, 3], 'Ж': [0, 2, 3], 'Ф': [0, 1, 3], 'Д': [0, 1, 2]};[2, 7, 0, 3];[1, 5, 6, 8];{'Г': 0, 'Д': 1, 'Ж': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'Ф': [2]};2;1.0;'- - - Д
1084;"[array([['Х', 'Х', 'Х'],
       ['Т', 'Х', 'Ш'],
       ['М', 'Х', 'П']], dtype='<U1')]";['Т', 'Ш', 'М', 'П'];[3, 5, 6, 8];grid_3987.png;[0, 1, 2, 7];{'Т': 0, 'Ш': 1, 'М': 2, 'П': 3};{'Т': [1, 2, 3], 'Ш': [0, 2, 3], 'М': [0, 1, 3], 'П': [0, 1, 2]};[1, 7, 0, 6];[2, 3, 5, 8];{'М': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'М': [1, 2, 3], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};0;;
4427;"[array([['Ж', 'Ф', 'Х'],
       ['Д', 'Х', 'Х'],
       ['Х', 'Г', 'Х']], dtype='<U1')]";['Ж', 'Ф', 'Д', 'Г'];[0, 1, 3, 7];grid_14148.png;[2, 5, 6, 8];{'Ж': 0, 'Ф': 1, 'Д': 2, 'Г': 3};{'Ж': [1, 2, 3], 'Ф': [0, 2, 3], 'Д': [0, 1, 3], 'Г': [0, 1, 2]};[2, 5, 1, 3];[0, 6, 7, 8];{'Г': 0, 'Д': 1, 'Ж': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'Ф': [2]};2;0.0;'- Г - -
113;"[array([['Х', 'Л', 'Х'],
       ['Ш', 'Х', 'П'],
       ['Х', 'Х', 'Т']], dtype='<U1')]";['Л', 'Ш', 'П', 'Т'];[1, 3, 5, 8];grid_1448.png;[0, 2, 6, 7];{'Л': 0, 'Ш': 1, 'П': 2, 'Т': 3};{'Л': [1, 2, 3], 'Ш': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]};[5, 1, 7, 6];[0, 2, 3, 8];{'Л': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'Л': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};1;0.0;0
4479;"[array([['Х', 'Х', 'Ф'],
       ['Х', 'Х', 'Г'],
       ['Д', 'Ж', 'Х']], dtype='<U1')]";['Ф', 'Г', 'Д', 'Ж'];[2, 5, 6, 7];grid_14202.png;[0, 1, 3, 8];{'Ф': 0, 'Г': 1, 'Д': 2, 'Ж': 3};{'Ф': [1, 2, 3], 'Г': [0, 2, 3], 'Д': [0, 1, 3], 'Ж': [0, 1, 2]};[8, 7, 0, 3];[1, 2, 5, 6];{'Г': 0, 'Д': 1, 'Ж': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'Ф': [2]};2;1.0;'- - Д -
476;"[array([['М', 'Ш', 'К'],
       ['Т', 'Х', 'Х'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['М', 'Ш', 'К', 'Т'];[0, 1, 2, 3];grid_2241.png;[5, 6, 7, 8];{'М': 0, 'Ш': 1, 'К': 2, 'Т': 3};{'М': [1, 2, 3], 'Ш': [0, 2, 3], 'К': [0, 1, 3], 'Т': [0, 1, 2]};[2, 5, 8, 1];[0, 3, 6, 7];{'К': 0, 'М': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ш': [2]};2;0.0;'- - - М
4445;"[array([['Г', 'Х', 'Х'],
       ['Д', 'Х', 'Ж'],
       ['Х', 'Ф', 'Х']], dtype='<U1')]";['Г', 'Д', 'Ж', 'Ф'];[0, 3, 5, 7];grid_14167.png;[1, 2, 6, 8];{'Г': 0, 'Д': 1, 'Ж': 2, 'Ф': 3};{'Г': [1, 2, 3], 'Д': [0, 2, 3], 'Ж': [0, 1, 3], 'Ф': [0, 1, 2]};[2, 1, 7, 3];[0, 5, 6, 8];{'Г': 0, 'Д': 1, 'Ж': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'Ф': [2]};1;0.0;8
497;"[array([['К', 'Х', 'М'],
       ['Х', 'Х', 'Т'],
       ['Х', 'Х', 'Ш']], dtype='<U1')]";['К', 'М', 'Т', 'Ш'];[0, 2, 5, 8];grid_2262.png;[1, 3, 6, 7];{'К': 0, 'М': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2, 3], 'М': [0, 2, 3], 'Т': [0, 1, 3], 'Ш': [0, 1, 2]};[2, 8, 7, 6];[0, 1, 3, 5];{'К': 0, 'М': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ш': [2]};3;1.0;6
1638;"[array([['Ф', 'Л', 'Х'],
       ['Ж', 'Х', 'Х'],
       ['П', 'Х', 'Х']], dtype='<U1')]";['Ф', 'Л', 'Ж', 'П'];[0, 1, 3, 6];grid_9387.png;[2, 5, 7, 8];{'Ф': 0, 'Л': 1, 'Ж': 2, 'П': 3};{'Ф': [1, 2, 3], 'Л': [0, 2, 3], 'Ж': [0, 1, 3], 'П': [0, 1, 2]};[2, 5, 1, 0];[3, 6, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Ф': 3};{'Ж': [1, 2], 'Л': [0, 2], 'П': [1, 3], 'Ф': [2]};1;1.0;0
516;"[array([['Х', 'К', 'М'],
       ['Х', 'Х', 'Т'],
       ['Х', 'Х', 'Ш']], dtype='<U1')]";['К', 'М', 'Т', 'Ш'];[1, 2, 5, 8];grid_2282.png;[0, 3, 6, 7];{'К': 0, 'М': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2, 3], 'М': [0, 2, 3], 'Т': [0, 1, 3], 'Ш': [0, 1, 2]};[5, 8, 7, 6];[0, 1, 2, 3];{'К': 0, 'М': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ш': [2]};4;0.0;'- - К -
4436;"[array([['Ф', 'Х', 'Ж'],
       ['Д', 'Х', 'Х'],
       ['Г', 'Х', 'Х']], dtype='<U1')]";['Ф', 'Ж', 'Д', 'Г'];[0, 2, 3, 6];grid_14157.png;[1, 5, 7, 8];{'Ф': 0, 'Ж': 1, 'Д': 2, 'Г': 3};{'Ф': [1, 2, 3], 'Ж': [0, 2, 3], 'Д': [0, 1, 3], 'Г': [0, 1, 2]};[2, 8, 1, 0];[3, 5, 6, 7];{'Г': 0, 'Д': 1, 'Ж': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'Ф': [2]};0;;
694;"[array([['Т', 'К', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Ш', 'П']], dtype='<U1')]";['Т', 'К', 'Ш', 'П'];[0, 1, 7, 8];grid_2885.png;[2, 3, 5, 6];{'Т': 0, 'К': 1, 'Ш': 2, 'П': 3};{'Т': [1, 2, 3], 'К': [0, 2, 3], 'Ш': [0, 1, 3], 'П': [0, 1, 2]};[2, 5, 3, 6];[0, 1, 7, 8];{'К': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};0;;
