;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
742;"[array([['Х', 'Х', 'Ш'],
       ['Х', 'Х', 'Х'],
       ['П', 'Т', 'К']], dtype='<U1')]";['Ш', 'П', 'Т', 'К'];[2, 6, 7, 8];grid_2935.png;[0, 1, 3, 5];{'Ш': 0, 'П': 1, 'Т': 2, 'К': 3};{'Ш': [1, 2, 3], 'П': [0, 2, 3], 'Т': [0, 1, 3], 'К': [0, 1, 2]};[8, 0, 3, 6];[1, 2, 5, 7];{'К': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};4;0.0;'- - П -
3999;"[array([['Х', 'Х', 'Ф'],
       ['М', 'Х', 'Ж'],
       ['Х', 'Х', 'Г']], dtype='<U1')]";['Ф', 'М', 'Ж', 'Г'];[2, 3, 5, 8];grid_13498.png;[0, 1, 6, 7];{'Ф': 0, 'М': 1, 'Ж': 2, 'Г': 3};{'Ф': [1, 2, 3], 'М': [0, 2, 3], 'Ж': [0, 1, 3], 'Г': [0, 1, 2]};[8, 1, 7, 6];[0, 2, 3, 5];{'Г': 0, 'Ж': 1, 'М': 2, 'Ф': 3};{'Г': [1], 'Ж': [0, 2], 'М': [1, 3], 'Ф': [2]};0;;
693;"[array([['П', 'Ш', 'Х'],
       ['Х', 'Х', 'Х'],
       ['К', 'Х', 'Т']], dtype='<U1')]";['П', 'Ш', 'К', 'Т'];[0, 1, 6, 8];grid_2884.png;[2, 3, 5, 7];{'П': 0, 'Ш': 1, 'К': 2, 'Т': 3};{'П': [1, 2, 3], 'Ш': [0, 2, 3], 'К': [0, 1, 3], 'Т': [0, 1, 2]};[2, 5, 0, 6];[1, 3, 7, 8];{'К': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};1;0.0;3
4005;"[array([['Х', 'Х', 'Г'],
       ['Х', 'Х', 'Ф'],
       ['Х', 'Ж', 'М']], dtype='<U1')]";['Г', 'Ф', 'Ж', 'М'];[2, 5, 7, 8];grid_13504.png;[0, 1, 3, 6];{'Г': 0, 'Ф': 1, 'Ж': 2, 'М': 3};{'Г': [1, 2, 3], 'Ф': [0, 2, 3], 'Ж': [0, 1, 3], 'М': [0, 1, 2]};[8, 7, 3, 6];[0, 1, 2, 5];{'Г': 0, 'Ж': 1, 'М': 2, 'Ф': 3};{'Г': [1], 'Ж': [0, 2], 'М': [1, 3], 'Ф': [2]};4;0.0;'- Г - -
72;"[array([['Т', 'Л', 'Ш'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Х', 'П']], dtype='<U1')]";['Т', 'Л', 'Ш', 'П'];[0, 1, 2, 8];grid_1405.png;[3, 5, 6, 7];{'Т': 0, 'Л': 1, 'Ш': 2, 'П': 3};{'Т': [1, 2, 3], 'Л': [0, 2, 3], 'Ш': [0, 1, 3], 'П': [0, 1, 2]};[2, 5, 8, 6];[0, 1, 3, 7];{'Л': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'Л': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};1;1.0;1
2387;"[array([['Ф', 'М', 'Х'],
       ['Ж', 'Х', 'Х'],
       ['Х', 'К', 'Х']], dtype='<U1')]";['Ф', 'М', 'Ж', 'К'];[0, 1, 3, 7];grid_10718.png;[2, 5, 6, 8];{'Ф': 0, 'М': 1, 'Ж': 2, 'К': 3};{'Ф': [1, 2, 3], 'М': [0, 2, 3], 'Ж': [0, 1, 3], 'К': [0, 1, 2]};[2, 5, 1, 3];[0, 6, 7, 8];{'Ж': 0, 'К': 1, 'М': 2, 'Ф': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Ф': [2]};3;1.0;2
4169;"[array([['Д', 'Х', 'Ш'],
       ['Х', 'Х', 'Г'],
       ['Х', 'Х', 'П']], dtype='<U1')]";['Д', 'Ш', 'Г', 'П'];[0, 2, 5, 8];grid_13742.png;[1, 3, 6, 7];{'Д': 0, 'Ш': 1, 'Г': 2, 'П': 3};{'Д': [1, 2, 3], 'Ш': [0, 2, 3], 'Г': [0, 1, 3], 'П': [0, 1, 2]};[2, 8, 7, 6];[0, 1, 3, 5];{'Г': 0, 'Д': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'П': [1, 3], 'Ш': [2]};2;0.0;'- Г - -
243;"[array([['Х', 'Т', 'Л'],
       ['Х', 'Х', 'Ф'],
       ['Х', 'Ж', 'Х']], dtype='<U1')]";['Т', 'Л', 'Ф', 'Ж'];[1, 2, 5, 7];grid_1861.png;[0, 3, 6, 8];{'Т': 0, 'Л': 1, 'Ф': 2, 'Ж': 3};{'Т': [1, 2, 3], 'Л': [0, 2, 3], 'Ф': [0, 1, 3], 'Ж': [0, 1, 2]};[5, 8, 7, 3];[0, 1, 2, 6];{'Ж': 0, 'Л': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2], 'Л': [0, 2], 'Т': [1, 3], 'Ф': [2]};2;1.0;'Т - - -
4160;"[array([['П', 'Г', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Д', 'Ш', 'Х']], dtype='<U1')]";['П', 'Г', 'Д', 'Ш'];[0, 1, 6, 7];grid_13733.png;[2, 3, 5, 8];{'П': 0, 'Г': 1, 'Д': 2, 'Ш': 3};{'П': [1, 2, 3], 'Г': [0, 2, 3], 'Д': [0, 1, 3], 'Ш': [0, 1, 2]};[2, 5, 0, 3];[1, 6, 7, 8];{'Г': 0, 'Д': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'П': [1, 3], 'Ш': [2]};4;1.0;'- - П -
562;"[array([['К', 'Х', 'М'],
       ['Ф', 'Х', 'Х'],
       ['Х', 'Х', 'Т']], dtype='<U1')]";['К', 'М', 'Ф', 'Т'];[0, 2, 3, 8];grid_2329.png;[1, 5, 6, 7];{'К': 0, 'М': 1, 'Ф': 2, 'Т': 3};{'К': [1, 2, 3], 'М': [0, 2, 3], 'Ф': [0, 1, 3], 'Т': [0, 1, 2]};[2, 8, 1, 6];[0, 3, 5, 7];{'К': 0, 'М': 1, 'Т': 2, 'Ф': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ф': [2]};0;;
1523;"[array([['П', 'Х', 'Х'],
       ['Ш', 'Х', 'Х'],
       ['Л', 'Г', 'Х']], dtype='<U1')]";['П', 'Ш', 'Л', 'Г'];[0, 3, 6, 7];grid_9199.png;[1, 2, 5, 8];{'П': 0, 'Ш': 1, 'Л': 2, 'Г': 3};{'П': [1, 2, 3], 'Ш': [0, 2, 3], 'Л': [0, 1, 3], 'Г': [0, 1, 2]};[2, 1, 0, 3];[5, 6, 7, 8];{'Г': 0, 'Л': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ш': [2]};2;1.0;'- - Л -
