;grid;letters;locs;encoding_stim;incorr_locs;corr_letters;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc;task_ind;answer_type;probe_stim
326;"[array([['Х', 'Х', 'Ф'],
       ['Л', 'Х', 'Ш'],
       ['Х', 'Т', 'Х']], dtype='<U1')]";['Ф', 'Л', 'Ш', 'Т'];[2, 3, 5, 7];grid_1947.png;[0, 1, 6, 8];{'Ф': 0, 'Л': 1, 'Ш': 2, 'Т': 3};{'Ф': [1, 2, 3], 'Л': [0, 2, 3], 'Ш': [0, 1, 3], 'Т': [0, 1, 2]};[8, 1, 7, 3];[0, 2, 5, 6];{'Л': 0, 'Т': 1, 'Ф': 2, 'Ш': 3};{'Л': [1, 2], 'Т': [2, 3], 'Ф': [3], 'Ш': [2]};1;1.0;7
4144;"[array([['Х', 'Х', 'Х'],
       ['Д', 'Х', 'Г'],
       ['Ж', 'Х', 'П']], dtype='<U1')]";['Д', 'Г', 'Ж', 'П'];[3, 5, 6, 8];grid_13717.png;[0, 1, 2, 7];{'Д': 0, 'Г': 1, 'Ж': 2, 'П': 3};{'Д': [1, 2, 3], 'Г': [0, 2, 3], 'Ж': [0, 1, 3], 'П': [0, 1, 2]};[1, 7, 0, 6];[2, 3, 5, 8];{'Г': 0, 'Д': 1, 'Ж': 2, 'П': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'П': [1, 2]};3;0.0;5
596;"[array([['Х', 'Ф', 'Х'],
       ['Х', 'Х', 'Х'],
       ['М', 'Т', 'К']], dtype='<U1')]";['Ф', 'М', 'Т', 'К'];[1, 6, 7, 8];grid_2365.png;[0, 2, 3, 5];{'Ф': 0, 'М': 1, 'Т': 2, 'К': 3};{'Ф': [1, 2, 3], 'М': [0, 2, 3], 'Т': [0, 1, 3], 'К': [0, 1, 2]};[5, 0, 3, 6];[1, 2, 7, 8];{'К': 0, 'М': 1, 'Т': 2, 'Ф': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ф': [2]};0;;
1550;"[array([['Х', 'Х', 'Г'],
       ['Ш', 'Х', 'П'],
       ['Х', 'Л', 'Х']], dtype='<U1')]";['Г', 'Ш', 'П', 'Л'];[2, 3, 5, 7];grid_9227.png;[0, 1, 6, 8];{'Г': 0, 'Ш': 1, 'П': 2, 'Л': 3};{'Г': [1, 2, 3], 'Ш': [0, 2, 3], 'П': [0, 1, 3], 'Л': [0, 1, 2]};[8, 1, 7, 3];[0, 2, 5, 6];{'Г': 0, 'Л': 1, 'П': 2, 'Ш': 3};{'Г': [1], 'Л': [0, 2], 'П': [1, 3], 'Ш': [2]};4;0.0;'Л - - -
2404;"[array([['М', 'Х', 'Х'],
       ['К', 'Х', 'Ф'],
       ['Ж', 'Х', 'Х']], dtype='<U1')]";['М', 'К', 'Ф', 'Ж'];[0, 3, 5, 6];grid_10736.png;[1, 2, 7, 8];{'М': 0, 'К': 1, 'Ф': 2, 'Ж': 3};{'М': [1, 2, 3], 'К': [0, 2, 3], 'Ф': [0, 1, 3], 'Ж': [0, 1, 2]};[2, 1, 7, 0];[3, 5, 6, 8];{'Ж': 0, 'К': 1, 'М': 2, 'Ф': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Ф': [2]};1;1.0;5
104;"[array([['Х', 'Ш', 'Л'],
       ['П', 'Х', 'Х'],
       ['Х', 'Т', 'Х']], dtype='<U1')]";['Ш', 'Л', 'П', 'Т'];[1, 2, 3, 7];grid_1438.png;[0, 5, 6, 8];{'Ш': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ш': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]};[5, 8, 1, 3];[0, 2, 6, 7];{'Л': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'Л': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};4;1.0;'- - Т -
3279;"[array([['М', 'Х', 'Д'],
       ['Ж', 'Х', 'Г'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['М', 'Д', 'Ж', 'Г'];[0, 2, 3, 5];grid_12546.png;[1, 6, 7, 8];{'М': 0, 'Д': 1, 'Ж': 2, 'Г': 3};{'М': [1, 2, 3], 'Д': [0, 2, 3], 'Ж': [0, 1, 3], 'Г': [0, 1, 2]};[2, 8, 1, 7];[0, 3, 5, 6];{'Г': 0, 'Д': 1, 'Ж': 2, 'М': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'М': [1, 2]};0;;
2976;"[array([['Х', 'К', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Ш', 'П', 'Ф']], dtype='<U1')]";['К', 'Ш', 'П', 'Ф'];[1, 6, 7, 8];grid_11955.png;[0, 2, 3, 5];{'К': 0, 'Ш': 1, 'П': 2, 'Ф': 3};{'К': [1, 2, 3], 'Ш': [0, 2, 3], 'П': [0, 1, 3], 'Ф': [0, 1, 2]};[5, 0, 3, 6];[1, 2, 7, 8];{'К': 0, 'П': 1, 'Ф': 2, 'Ш': 3};{'К': [1, 2], 'П': [2, 3], 'Ф': [3], 'Ш': [2]};0;;
3308;"[array([['Х', 'М', 'Х'],
       ['Д', 'Х', 'Г'],
       ['Ж', 'Х', 'Х']], dtype='<U1')]";['М', 'Д', 'Г', 'Ж'];[1, 3, 5, 6];grid_12576.png;[0, 2, 7, 8];{'М': 0, 'Д': 1, 'Г': 2, 'Ж': 3};{'М': [1, 2, 3], 'Д': [0, 2, 3], 'Г': [0, 1, 3], 'Ж': [0, 1, 2]};[5, 1, 7, 0];[2, 3, 6, 8];{'Г': 0, 'Д': 1, 'Ж': 2, 'М': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'М': [1, 2]};0;;
154;"[array([['Л', 'Х', 'Т'],
       ['Ф', 'Х', 'Х'],
       ['Х', 'Х', 'П']], dtype='<U1')]";['Л', 'Т', 'Ф', 'П'];[0, 2, 3, 8];grid_1489.png;[1, 5, 6, 7];{'Л': 0, 'Т': 1, 'Ф': 2, 'П': 3};{'Л': [1, 2, 3], 'Т': [0, 2, 3], 'Ф': [0, 1, 3], 'П': [0, 1, 2]};[2, 8, 1, 6];[0, 3, 5, 7];{'Л': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Л': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ф': [2]};4;0.0;'- - П -
3368;"[array([['Х', 'Г', 'М'],
       ['Ш', 'Х', 'Х'],
       ['Х', 'Д', 'Х']], dtype='<U1')]";['Г', 'М', 'Ш', 'Д'];[1, 2, 3, 7];grid_12638.png;[0, 5, 6, 8];{'Г': 0, 'М': 1, 'Ш': 2, 'Д': 3};{'Г': [1, 2, 3], 'М': [0, 2, 3], 'Ш': [0, 1, 3], 'Д': [0, 1, 2]};[5, 8, 1, 3];[0, 2, 6, 7];{'Г': 0, 'Д': 1, 'М': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'М': [1, 3], 'Ш': [2]};0;;
1314;"[array([['П', 'Х', 'Ж'],
       ['Х', 'Х', 'Х'],
       ['Ф', 'Т', 'Х']], dtype='<U1')]";['П', 'Ж', 'Ф', 'Т'];[0, 2, 6, 7];grid_5483.png;[1, 3, 5, 8];{'П': 0, 'Ж': 1, 'Ф': 2, 'Т': 3};{'П': [1, 2, 3], 'Ж': [0, 2, 3], 'Ф': [0, 1, 3], 'Т': [0, 1, 2]};[2, 8, 0, 3];[1, 5, 6, 7];{'Ж': 0, 'П': 1, 'Т': 2, 'Ф': 3};{'Ж': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ф': [2]};3;1.0;2
2050;"[array([['К', 'М', 'Х'],
       ['Х', 'Х', 'Ш'],
       ['Х', 'Д', 'Х']], dtype='<U1')]";['К', 'М', 'Ш', 'Д'];[0, 1, 5, 7];grid_10021.png;[2, 3, 6, 8];{'К': 0, 'М': 1, 'Ш': 2, 'Д': 3};{'К': [1, 2, 3], 'М': [0, 2, 3], 'Ш': [0, 1, 3], 'Д': [0, 1, 2]};[2, 5, 7, 3];[0, 1, 6, 8];{'Д': 0, 'К': 1, 'М': 2, 'Ш': 3};{'Д': [1], 'К': [0, 2], 'М': [1, 3], 'Ш': [2]};3;0.0;6
4609;"[array([['Х', 'Х', 'Ф'],
       ['Г', 'Х', 'Ж'],
       ['П', 'Х', 'Х']], dtype='<U1')]";['Ф', 'Г', 'Ж', 'П'];[2, 3, 5, 6];grid_14476.png;[0, 1, 7, 8];{'Ф': 0, 'Г': 1, 'Ж': 2, 'П': 3};{'Ф': [1, 2, 3], 'Г': [0, 2, 3], 'Ж': [0, 1, 3], 'П': [0, 1, 2]};[8, 1, 7, 0];[2, 3, 5, 6];{'Г': 0, 'Ж': 1, 'П': 2, 'Ф': 3};{'Г': [1], 'Ж': [0, 2], 'П': [1, 3], 'Ф': [2]};0;;
537;"[array([['Х', 'Х', 'К'],
       ['Х', 'Х', 'Т'],
       ['Х', 'М', 'Ш']], dtype='<U1')]";['К', 'Т', 'М', 'Ш'];[2, 5, 7, 8];grid_2304.png;[0, 1, 3, 6];{'К': 0, 'Т': 1, 'М': 2, 'Ш': 3};{'К': [1, 2, 3], 'Т': [0, 2, 3], 'М': [0, 1, 3], 'Ш': [0, 1, 2]};[8, 7, 3, 6];[0, 1, 2, 5];{'К': 0, 'М': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ш': [2]};4;0.0;'- - Ш -
4286;"[array([['П', 'Ж', 'Ф'],
       ['Х', 'Х', 'Х'],
       ['Д', 'Х', 'Х']], dtype='<U1')]";['П', 'Ж', 'Ф', 'Д'];[0, 1, 2, 6];grid_13933.png;[3, 5, 7, 8];{'П': 0, 'Ж': 1, 'Ф': 2, 'Д': 3};{'П': [1, 2, 3], 'Ж': [0, 2, 3], 'Ф': [0, 1, 3], 'Д': [0, 1, 2]};[2, 5, 8, 0];[1, 3, 6, 7];{'Д': 0, 'Ж': 1, 'П': 2, 'Ф': 3};{'Д': [1], 'Ж': [0, 2], 'П': [1, 3], 'Ф': [2]};0;;
493;"[array([['Т', 'Х', 'К'],
       ['М', 'Х', 'Х'],
       ['Х', 'Ш', 'Х']], dtype='<U1')]";['Т', 'К', 'М', 'Ш'];[0, 2, 3, 7];grid_2258.png;[1, 5, 6, 8];{'Т': 0, 'К': 1, 'М': 2, 'Ш': 3};{'Т': [1, 2, 3], 'К': [0, 2, 3], 'М': [0, 1, 3], 'Ш': [0, 1, 2]};[2, 8, 1, 3];[0, 5, 6, 7];{'К': 0, 'М': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'М': [2, 3], 'Т': [1, 3], 'Ш': [2]};2;0.0;'- - К -
4224;"[array([['П', 'Д', 'Х'],
       ['Ф', 'Х', 'Х'],
       ['Х', 'Х', 'Г']], dtype='<U1')]";['П', 'Д', 'Ф', 'Г'];[0, 1, 3, 8];grid_13799.png;[2, 5, 6, 7];{'П': 0, 'Д': 1, 'Ф': 2, 'Г': 3};{'П': [1, 2, 3], 'Д': [0, 2, 3], 'Ф': [0, 1, 3], 'Г': [0, 1, 2]};[2, 5, 1, 6];[0, 3, 7, 8];{'Г': 0, 'Д': 1, 'П': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'П': [1, 3], 'Ф': [2]};4;0.0;'- - - П
440;"[array([['Ж', 'Х', 'Х'],
       ['Х', 'Х', 'М'],
       ['Х', 'Т', 'К']], dtype='<U1')]";['Ж', 'М', 'Т', 'К'];[0, 5, 7, 8];grid_2204.png;[1, 2, 3, 6];{'Ж': 0, 'М': 1, 'Т': 2, 'К': 3};{'Ж': [1, 2, 3], 'М': [0, 2, 3], 'Т': [0, 1, 3], 'К': [0, 1, 2]};[2, 7, 3, 6];[0, 1, 5, 8];{'Ж': 0, 'К': 1, 'М': 2, 'Т': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Т': [1, 2]};3;0.0;8
4365;"[array([['П', 'Ш', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Д', 'Х', 'Ф']], dtype='<U1')]";['П', 'Ш', 'Д', 'Ф'];[0, 1, 6, 8];grid_14014.png;[2, 3, 5, 7];{'П': 0, 'Ш': 1, 'Д': 2, 'Ф': 3};{'П': [1, 2, 3], 'Ш': [0, 2, 3], 'Д': [0, 1, 3], 'Ф': [0, 1, 2]};[2, 5, 0, 6];[1, 3, 7, 8];{'Д': 0, 'П': 1, 'Ф': 2, 'Ш': 3};{'Д': [1], 'П': [2, 3], 'Ф': [3], 'Ш': [2]};2;1.0;'- - Д -
432;"[array([['Ж', 'Х', 'Х'],
       ['К', 'Х', 'Т'],
       ['М', 'Х', 'Х']], dtype='<U1')]";['Ж', 'К', 'Т', 'М'];[0, 3, 5, 6];grid_2196.png;[1, 2, 7, 8];{'Ж': 0, 'К': 1, 'Т': 2, 'М': 3};{'Ж': [1, 2, 3], 'К': [0, 2, 3], 'Т': [0, 1, 3], 'М': [0, 1, 2]};[2, 1, 7, 0];[3, 5, 6, 8];{'Ж': 0, 'К': 1, 'М': 2, 'Т': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Т': [1, 2]};4;0.0;'- - К -
1750;"[array([['Х', 'П', 'Х'],
       ['Х', 'Х', 'Ф'],
       ['Ш', 'Х', 'Л']], dtype='<U1')]";['П', 'Ф', 'Ш', 'Л'];[1, 5, 6, 8];grid_9503.png;[0, 2, 3, 7];{'П': 0, 'Ф': 1, 'Ш': 2, 'Л': 3};{'П': [1, 2, 3], 'Ф': [0, 2, 3], 'Ш': [0, 1, 3], 'Л': [0, 1, 2]};[5, 7, 0, 6];[1, 2, 3, 8];{'Л': 0, 'П': 1, 'Ф': 2, 'Ш': 3};{'Л': [1, 2], 'П': [2, 3], 'Ф': [3], 'Ш': [2]};2;1.0;'- - - Л
462;"[array([['Х', 'Х', 'М'],
       ['Ж', 'Х', 'К'],
       ['Х', 'Т', 'Х']], dtype='<U1')]";['М', 'Ж', 'К', 'Т'];[2, 3, 5, 7];grid_2227.png;[0, 1, 6, 8];{'М': 0, 'Ж': 1, 'К': 2, 'Т': 3};{'М': [1, 2, 3], 'Ж': [0, 2, 3], 'К': [0, 1, 3], 'Т': [0, 1, 2]};[8, 1, 7, 3];[0, 2, 5, 6];{'Ж': 0, 'К': 1, 'М': 2, 'Т': 3};{'Ж': [1, 2], 'К': [0, 2], 'М': [1, 3], 'Т': [1, 2]};3;0.0;6
4502;"[array([['Г', 'Ф', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Ш', 'Д']], dtype='<U1')]";['Г', 'Ф', 'Ш', 'Д'];[0, 1, 7, 8];grid_14225.png;[2, 3, 5, 6];{'Г': 0, 'Ф': 1, 'Ш': 2, 'Д': 3};{'Г': [1, 2, 3], 'Ф': [0, 2, 3], 'Ш': [0, 1, 3], 'Д': [0, 1, 2]};[2, 5, 3, 6];[0, 1, 7, 8];{'Г': 0, 'Д': 1, 'Ф': 2, 'Ш': 3};{'Г': [1], 'Д': [0], 'Ф': [3], 'Ш': [2]};1;0.0;5
654;"[array([['Х', 'П', 'К'],
       ['Х', 'Х', 'Х'],
       ['Т', 'Х', 'Ж']], dtype='<U1')]";['П', 'К', 'Т', 'Ж'];[1, 2, 6, 8];grid_2844.png;[0, 3, 5, 7];{'П': 0, 'К': 1, 'Т': 2, 'Ж': 3};{'П': [1, 2, 3], 'К': [0, 2, 3], 'Т': [0, 1, 3], 'Ж': [0, 1, 2]};[5, 8, 0, 6];[1, 2, 3, 7];{'Ж': 0, 'К': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2], 'К': [0, 2], 'П': [1, 3], 'Т': [1, 2]};2;1.0;'- К - -
3466;"[array([['Х', 'Х', 'Х'],
       ['Ф', 'Х', 'Х'],
       ['М', 'Г', 'Д']], dtype='<U1')]";['Ф', 'М', 'Г', 'Д'];[3, 6, 7, 8];grid_12739.png;[0, 1, 2, 5];{'Ф': 0, 'М': 1, 'Г': 2, 'Д': 3};{'Ф': [1, 2, 3], 'М': [0, 2, 3], 'Г': [0, 1, 3], 'Д': [0, 1, 2]};[1, 0, 3, 6];[2, 5, 7, 8];{'Г': 0, 'Д': 1, 'М': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'М': [1, 3], 'Ф': [2]};1;0.0;5
106;"[array([['Х', 'Л', 'П'],
       ['Х', 'Х', 'Ш'],
       ['Т', 'Х', 'Х']], dtype='<U1')]";['Л', 'П', 'Ш', 'Т'];[1, 2, 5, 6];grid_1440.png;[0, 3, 7, 8];{'Л': 0, 'П': 1, 'Ш': 2, 'Т': 3};{'Л': [1, 2, 3], 'П': [0, 2, 3], 'Ш': [0, 1, 3], 'Т': [0, 1, 2]};[5, 8, 7, 0];[1, 2, 3, 6];{'Л': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'Л': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};4;1.0;'Л - - -
4465;"[array([['Х', 'Ф', 'Х'],
       ['Ж', 'Х', 'Г'],
       ['Х', 'Х', 'Д']], dtype='<U1')]";['Ф', 'Ж', 'Г', 'Д'];[1, 3, 5, 8];grid_14188.png;[0, 2, 6, 7];{'Ф': 0, 'Ж': 1, 'Г': 2, 'Д': 3};{'Ф': [1, 2, 3], 'Ж': [0, 2, 3], 'Г': [0, 1, 3], 'Д': [0, 1, 2]};[5, 1, 7, 6];[0, 2, 3, 8];{'Г': 0, 'Д': 1, 'Ж': 2, 'Ф': 3};{'Г': [1], 'Д': [0], 'Ж': [0, 1], 'Ф': [2]};4;1.0;'- - Ж -
738;"[array([['Х', 'Х', 'Т'],
       ['К', 'Х', 'Х'],
       ['Х', 'П', 'Ш']], dtype='<U1')]";['Т', 'К', 'П', 'Ш'];[2, 3, 7, 8];grid_2931.png;[0, 1, 5, 6];{'Т': 0, 'К': 1, 'П': 2, 'Ш': 3};{'Т': [1, 2, 3], 'К': [0, 2, 3], 'П': [0, 1, 3], 'Ш': [0, 1, 2]};[8, 1, 3, 6];[0, 2, 5, 7];{'К': 0, 'П': 1, 'Т': 2, 'Ш': 3};{'К': [1, 2], 'П': [2, 3], 'Т': [1, 3], 'Ш': [2]};3;0.0;2
1782;"[array([['Ф', 'Г', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Ж', 'Л']], dtype='<U1')]";['Ф', 'Г', 'Ж', 'Л'];[0, 1, 7, 8];grid_9605.png;[2, 3, 5, 6];{'Ф': 0, 'Г': 1, 'Ж': 2, 'Л': 3};{'Ф': [1, 2, 3], 'Г': [0, 2, 3], 'Ж': [0, 1, 3], 'Л': [0, 1, 2]};[2, 5, 3, 6];[0, 1, 7, 8];{'Г': 0, 'Ж': 1, 'Л': 2, 'Ф': 3};{'Г': [1], 'Ж': [0, 2], 'Л': [0, 1], 'Ф': [2]};3;1.0;5
